date,death
2011-03-18,3
2011-03-19,0
2011-03-20,3
2011-03-21,0
2011-03-22,0
2011-03-23,56
2011-03-24,1
2011-03-25,17
2011-03-26,20
2011-03-27,0
2011-03-28,3
2011-03-29,2
2011-03-30,2
2011-03-31,0
2011-04-01,21
2011-04-02,1
2011-04-03,1
2011-04-04,1
2011-04-05,2
2011-04-06,0
2011-04-07,0
2011-04-08,8
2011-04-09,5
2011-04-10,1
2011-04-11,2
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,1
2011-04-16,4
2011-04-17,30
2011-04-18,5
2011-04-19,7
2011-04-20,6
2011-04-21,4
2011-04-22,116
2011-04-23,32
2011-04-24,29
2011-04-25,32
2011-04-26,9
2011-04-27,7
2011-04-28,29
2011-04-29,122
2011-04-30,10
2011-05-01,3
2011-05-02,3
2011-05-03,13
2011-05-04,6
2011-05-05,2
2011-05-06,37
2011-05-07,7
2011-05-08,16
2011-05-09,0
2011-05-10,10
2011-05-11,10
2011-05-12,2
2011-05-13,15
2011-05-14,5
2011-05-15,13
2011-05-16,21
2011-05-17,22
2011-05-18,13
2011-05-19,5
2011-05-20,69
2011-05-21,26
2011-05-22,8
2011-05-23,1
2011-05-24,1
2011-05-25,3
2011-05-26,2
2011-05-27,16
2011-05-28,6
2011-05-29,20
2011-05-30,19
2011-05-31,23
2011-06-01,6
2011-06-02,10
2011-06-03,73
2011-06-04,23
2011-06-05,58
2011-06-06,28
2011-06-07,0
2011-06-08,2
2011-06-09,1
2011-06-10,49
2011-06-11,2
2011-06-12,1
2011-06-13,1
2011-06-14,0
2011-06-15,0
2011-06-16,1
2011-06-17,10
2011-06-18,2
2011-06-19,1
2011-06-20,0
2011-06-21,13
2011-06-22,1
2011-06-23,0
2011-06-24,21
2011-06-25,0
2011-06-26,1
2011-06-27,2
2011-06-28,1
2011-06-29,8
2011-06-30,6
2011-07-01,25
2011-07-02,3
2011-07-03,5
2011-07-04,5
2011-07-05,23
2011-07-06,2
2011-07-07,5
2011-07-08,11
2011-07-09,3
2011-07-10,2
2011-07-11,0
2011-07-12,1
2011-07-13,6
2011-07-14,6
2011-07-15,31
2011-07-16,9
2011-07-17,11
2011-07-18,12
2011-07-19,11
2011-07-20,4
2011-07-21,6
2011-07-22,11
2011-07-23,3
2011-07-24,4
2011-07-25,6
2011-07-26,3
2011-07-27,15
2011-07-28,7
2011-07-29,22
2011-07-30,6
2011-07-31,118
2011-08-01,33
2011-08-02,13
2011-08-03,19
2011-08-04,29
2011-08-05,27
2011-08-06,5
2011-08-07,39
2011-08-08,9
2011-08-09,41
2011-08-10,18
2011-08-11,11
2011-08-12,25
2011-08-13,14
2011-08-14,31
2011-08-15,21
2011-08-16,7
2011-08-17,18
2011-08-18,4
2011-08-19,31
2011-08-20,9
2011-08-21,6
2011-08-22,13
2011-08-23,5
2011-08-24,11
2011-08-25,10
2011-08-26,13
2011-08-27,10
2011-08-28,10
2011-08-29,9
2011-08-30,7
2011-08-31,4
2011-09-01,8
2011-09-02,20
2011-09-03,10
2011-09-04,38
2011-09-05,13
2011-09-06,8
2011-09-07,41
2011-09-08,9
2011-09-09,18
2011-09-10,13
2011-09-11,8
2011-09-12,26
2011-09-13,25
2011-09-14,14
2011-09-15,10
2011-09-16,41
2011-09-17,14
2011-09-18,5
2011-09-19,11
2011-09-20,9
2011-09-21,17
2011-09-22,12
2011-09-23,14
2011-09-24,23
2011-09-25,7
2011-09-26,13
2011-09-27,12
2011-09-28,21
2011-09-29,8
2011-09-30,24
2011-10-01,28
2011-10-02,14
2011-10-03,9
2011-10-04,20
2011-10-05,23
2011-10-06,17
2011-10-07,18
2011-10-08,12
2011-10-09,18
2011-10-10,5
2011-10-11,9
2011-10-12,4
2011-10-13,11
2011-10-14,6
2011-10-15,17
2011-10-16,12
2011-10-17,39
2011-10-18,10
2011-10-19,25
2011-10-20,13
2011-10-21,29
2011-10-22,20
2011-10-23,19
2011-10-24,16
2011-10-25,4
2011-10-26,19
2011-10-27,30
2011-10-28,32
2011-10-29,23
2011-10-30,8
2011-10-31,12
2011-11-01,25
2011-11-02,27
2011-11-03,25
2011-11-04,21
2011-11-05,27
2011-11-06,20
2011-11-07,12
2011-11-08,18
2011-11-09,26
2011-11-10,30
2011-11-11,35
2011-11-12,18
2011-11-13,27
2011-11-14,40
2011-11-15,25
2011-11-16,22
2011-11-17,23
2011-11-18,19
2011-11-19,22
2011-11-20,17
2011-11-21,20
2011-11-22,33
2011-11-23,9
2011-11-24,25
2011-11-25,22
2011-11-26,26
2011-11-27,36
2011-11-28,22
2011-11-29,15
2011-11-30,22
2011-12-01,26
2011-12-02,20
2011-12-03,21
2011-12-04,30
2011-12-05,21
2011-12-06,24
2011-12-07,20
2011-12-08,22
2011-12-09,37
2011-12-10,15
2011-12-11,23
2011-12-12,22
2011-12-13,38
2011-12-14,32
2011-12-15,13
2011-12-16,23
2011-12-17,33
2011-12-18,22
2011-12-19,45
2011-12-20,86
2011-12-21,26
2011-12-22,35
2011-12-23,41
2011-12-24,25
2011-12-25,17
2011-12-26,42
2011-12-27,35
2011-12-28,15
2011-12-29,34
2011-12-30,32
2011-12-31,13
2012-01-01,12
2012-01-02,30
2012-01-03,16
2012-01-04,15
2012-01-05,30
2012-01-06,27
2012-01-07,23
2012-01-08,19
2012-01-09,18
2012-01-10,40
2012-01-11,24
2012-01-12,25
2012-01-13,14
2012-01-14,23
2012-01-15,35
2012-01-16,15
2012-01-17,34
2012-01-18,19
2012-01-19,28
2012-01-20,21
2012-01-21,38
2012-01-22,16
2012-01-23,30
2012-01-24,58
2012-01-25,22
2012-01-26,75
2012-01-27,52
2012-01-28,44
2012-01-29,76
2012-01-30,71
2012-01-31,32
2012-02-01,70
2012-02-02,17
2012-02-03,33
2012-02-04,209
2012-02-05,54
2012-02-06,81
2012-02-07,74
